"Name","Folder","Path","Bytes","Lines","Tokens","CodeLines"
"SKILL.md","accessibility","D:\SGROUP ERP FULL\.agents\skills\accessibility\SKILL.md","6490","209","1622","85"
"SKILL.md","accounting","D:\SGROUP ERP FULL\.agents\skills\accounting\SKILL.md","4289","127","1072","86"
"SKILL.md","ai-ml-engineer","D:\SGROUP ERP FULL\.agents\skills\ai-ml-engineer\SKILL.md","6110","176","1528","78"
"SKILL.md","amanda","D:\SGROUP ERP FULL\.agents\skills\amanda\SKILL.md","11834","277","2958","97"
"SKILL.md","api-testing","D:\SGROUP ERP FULL\.agents\skills\api-testing\SKILL.md","6926","220","1732","141"
"SKILL.md","auditor","D:\SGROUP ERP FULL\.agents\skills\auditor\SKILL.md","13265","372","3316","204"
"SKILL.md","backend-dev","D:\SGROUP ERP FULL\.agents\skills\backend-dev\SKILL.md","7493","257","1873","174"
"SKILL.md","business-analyst","D:\SGROUP ERP FULL\.agents\skills\business-analyst\SKILL.md","9880","248","2470","80"
"SKILL.md","caching","D:\SGROUP ERP FULL\.agents\skills\caching\SKILL.md","6128","179","1532","67"
"SKILL.md","cloud-architect","D:\SGROUP ERP FULL\.agents\skills\cloud-architect\SKILL.md","6950","170","1738","73"
"SKILL.md","cloud-cost","D:\SGROUP ERP FULL\.agents\skills\cloud-cost\SKILL.md","8612","258","2153","114"
"SKILL.md","cloud-database","D:\SGROUP ERP FULL\.agents\skills\cloud-database\SKILL.md","8047","246","2012","67"
"SKILL.md","code-review","D:\SGROUP ERP FULL\.agents\skills\code-review\SKILL.md","5425","140","1356","4"
"SKILL.md","commission","D:\SGROUP ERP FULL\.agents\skills\commission\SKILL.md","4630","122","1158","74"
"SKILL.md","crm-integration","D:\SGROUP ERP FULL\.agents\skills\crm-integration\SKILL.md","4124","133","1031","90"
"SKILL.md","cto","D:\SGROUP ERP FULL\.agents\skills\cto\SKILL.md","12650","355","3162","140"
"SKILL.md","data-analyst","D:\SGROUP ERP FULL\.agents\skills\data-analyst\SKILL.md","8777","233","2194","83"
"SKILL.md","database","D:\SGROUP ERP FULL\.agents\skills\database\SKILL.md","6149","197","1537","114"
"SKILL.md","dba","D:\SGROUP ERP FULL\.agents\skills\dba\SKILL.md","10788","349","2697","169"
"SKILL.md","deployment","D:\SGROUP ERP FULL\.agents\skills\deployment\SKILL.md","5904","254","1476","156"
"SKILL.md","devops","D:\SGROUP ERP FULL\.agents\skills\devops\SKILL.md","12226","408","3056","193"
"SKILL.md","error-handling","D:\SGROUP ERP FULL\.agents\skills\error-handling\SKILL.md","10119","277","2530","105"
"SKILL.md","event-driven","D:\SGROUP ERP FULL\.agents\skills\event-driven\SKILL.md","8605","238","2151","136"
"SKILL.md","file-storage","D:\SGROUP ERP FULL\.agents\skills\file-storage\SKILL.md","6189","188","1547","80"
"SKILL.md","frontend","D:\SGROUP ERP FULL\.agents\skills\frontend\SKILL.md","3520","86","880","12"
